timestamp,modulo,dispositivo,latencia_real_ms,latencia_prevista_ms,pacotes_enviados,pacotes_perdidos,tensao_v,corrente_a,status
2026-09-01T08:00,COM-ANT-01,antena_alpha,120,115,1000,3,24,1.8,OK
2026-09-01T08:10,COM-ANT-02,antena_beta,210,160,1000,18,24,2.1,ALERTA
2026-09-01T08:20,SENS-TEMP-01,sensor_termico,95,100,1000,1,12,0.8,OK
2026-09-01T08:30,SENS-PRES-01,sensor_pressao,180,150,1000,9,12,0.9,ALERTA
2026-09-01T08:40,PROP-RELAY-01,repetidor_orbita,145,140,1000,2,48,1.2,OK
2026-09-01T08:50,COM-ANT-03,antena_gamma,260,170,1000,25,24,2.4,CRITICO
2026-09-01T09:00,SENS-TEMP-02,sensor_termico_aux,110,105,1000,2,12,0.7,OK
2026-09-01T09:10,PROP-RELAY-02,repetidor_reserva,195,155,1000,12,48,1.4,ALERTA
2026-09-01T09:20,COM-ANT-01,antena_alpha,130,125,1000,4,24,1.8,OK
2026-09-01T09:30,SENS-PRES-01,sensor_pressao,170,145,1000,8,12,0.9,ALERTA
